unitLevel|amount|delay|entrance|message|tutorialKey|tutorialKeyRepeatable|rewards
|1|1||Welcome to Hardcore!||Read|recipe all
|1|1||1 minute to prepare|||build grey mine
|1|1||1 minute to prepare|||build Furnace
|1|1||1 minute to prepare|||build red mine
|1|30||1 minute to prepare|||build blue mine
|1|20||30 seconds to prepare|||
0|1|10|0|Day 1!|||save;chest grey potion
2|2|1.33|0||||
0|1|16|0||||
3|2|3|0||||
0|1|16|0||||
2|2|4.08|0||||
5|1|4.08|0||||
0|1|16|0||||
0|1|10|0|Day 2!|||save;chest blue gem
2|2|0.67|0||||
0|1|16|0||||
3|4|1.5|0||||
0|1|16|0||||
2|5|2.04|0||||
5|1|2.04|0||||
0|1|16|0||||
0|1|10|0|Day 3!|||save;chest blue potion
2|2|0.44|0||||
0|1|16|0||||
3|6|1|0||||
0|1|16|0||||
2|8|1.36|0||||
5|1|1.36|0||||
0|1|16|0||||
4|9|1.78|0||||
0|1|16|0||||
5|3|2.78|0||||
0|1|16|0||||
0|1|10|0|Day 4!|||save;chest blue bar
2|2|0.33|0||||
0|1|16|0||||
3|8|0.75|0||||
0|1|16|0||||
2|11|1.02|0||||
5|1|1.02|0||||
0|1|16|0||||
4|12|1.33|0||||
0|1|16|0||||
5|4|2.08|0||||
0|1|16|0||||
0|1|10|0|Day 5!|||save;chest blue upgrade_tower
2|2|0.27|0||||
0|1|16|0||||
3|10|0.6|0||||
0|1|16|0||||
2|14|0.82|0||||
5|1|0.82|0||||
0|1|16|0||||
4|15|1.07|0||||
0|1|16|0||||
5|5|1.67|0||||
0|1|16|0||||
6|1|2.4|0||||
0|1|16|0||||
0|1|10|0|Day 6!|||save;chest blue upgrade_tower
2|2|0.22|0||||
0|1|16|0||||
3|12|0.5|0||||
0|1|16|0||||
2|17|0.68|0||||
5|1|0.68|0||||
0|1|16|0||||
4|18|0.89|0||||
0|1|16|0||||
5|6|1.39|0||||
0|1|16|0||||
6|2|2|0||||
0|1|16|0||||
0|2|5|0|Day 7!|||save;chest blue upgrade_tower
2|4|0.1|0||||
0|2|8|0||||
3|30|0.2|0||||
0|2|8|0||||
2|40|0.25|0||||
5|2|0.25|0||||
0|2|8|0||||
4|30|0.5|0||||
0|2|8|0||||
5|14|0.5|0||||
0|2|8|0||||
6|9|1|0||||
0|2|8|0||||
0|8|2.5|0|Final Day!|||save;chest brown potion
2|4|0.0425|0||||
0|64|4|0||||
3|4|0.095|0||||
0|92|4|0||||
2|4|0.1275|0||||
5|4|0.1275|0||||
0|96|4|0||||
4|4|0.1675|0||||
0|32|4|0||||
5|4|0.26|0||||
0|16|4|0||||
6|4|0.375|0||||
0|32|4|0||||
6|4|0.375|0||||
0|0|4|0||||
